POINT;MSE_ARIMA;MAE_ARIMA;MAPE_ARIMA;R^2_ARIMA;MSE_HYB;MAE_HYB;MAPE_HYB;R^2_HYB;MSE_DIF;MAE_DIF;MAPE_DIF;R^2_DIF
75.84_16.72;0.0006157293248465331;0.02023501028452866;25.946;0.038492915722298515;0.00028007454867547604;0.013501999536964354;1.443;0.5626427850509312;-0.00033565477617105707;-0.006733010747564305;-24.503;0.5241498693286327
75.64_16.72;0.0012409001145086596;0.02901826236622689;54.0;-0.41472025223021736;0.0005893795833968769;0.019643474426360136;46.416;0.32806257076322354;-0.0006515205311117826;-0.009374787939866753;-7.584000000000003;-0.08665768146699382
75.44_16.72;0.0012409001145086596;0.02901826236622689;54.0;-0.41472025223021736;0.00046135271907814723;0.016930702512760003;44.791;0.47402290686404924;-0.0007795473954305123;-0.012087559853466885;-9.209000000000003;0.059302654633831886
75.24_16.72;0.0010264215729192472;0.02609563007164977;53.692;-0.15771830904525208;0.00038593179688116956;0.015516317858764566;80.162;0.5647009775707288;-0.0006404897760380777;-0.010579312212885205;26.470000000000006;0.4069826685254767
75.04_16.72;0.0010264215729192472;0.02609563007164977;53.692;-0.15771830904525208;0.000377736588502547;0.015298624574123695;92.932;0.57394449216229;-0.0006486849844167002;-0.010797005497526076;39.24;0.41622618311703796
74.84_16.72;0.000857406381499538;0.023601406702792142;40.304;-0.06821028821820607;0.00037535669385221394;0.01598789020136668;-1.755;0.5323572453201733;-0.0004820496876473241;-0.007613516501425461;-38.549;0.4641469571019672
74.64_16.72;0.000857406381499538;0.023601406702792142;40.304;-0.06821028821820607;0.00041989389790687197;0.01628384850203339;-22.496;0.47687002175128157;-0.00043751248359266606;-0.007317558200758752;-17.808000000000003;0.4086597335330755
74.44_16.72;0.0009534290451754813;0.025106896828867308;253.201;0.03085482622657354;0.0005222702180964799;0.018935224618318362;292.01;0.4691207868744559;-0.0004311588270790014;-0.006171672210548946;38.809;0.43826596064788237
74.24_16.72;0.0009534290451754813;0.025106896828867308;253.201;0.03085482622657354;0.0004651950352891112;0.017454806496983482;171.251;0.5271367852750675;-0.0004882340098863701;-0.007652090331883826;-81.94999999999999;0.4962819590484939
76.24_17.72;0.0007523401782141487;0.021524781773234018;47.587;0.008804357783952166;0.0004135653311546899;0.015550452951125582;90.661;0.4551345709261282;-0.00033877484705945884;-0.005974328822108436;43.074;0.446330213142176
76.04_17.72;0.0007361990757985816;0.02141343173350134;60.068;0.02758059128433199;0.0004124501098206232;0.01602580350890115;38.639;0.4552091885181697;-0.0003237489659779584;-0.005387628224600191;-21.428999999999995;0.4276285972338377
75.84_17.72;0.0010732084330938023;0.026402375703335236;49.35;-0.24013459064663567;0.0005442566199651835;0.01868161383034288;55.22;0.3710900512945827;-0.0005289518131286189;-0.007720761872992355;5.869999999999997;0.13095546064794705
75.64_17.72;0.0011435632754273387;0.02765750876039938;49.685;-0.351862030308276;0.00044500216216826065;0.016617200489563094;5.773;0.4739411982117454;-0.000698561113259078;-0.011040308270836286;-43.912000000000006;0.1220791679034694
75.44_17.72;0.0019843418125008645;0.03712992759724093;47.67;-0.730960691451394;0.000863732867967405;0.023187477108313294;-9.084;0.2465574061144753;-0.0011206089445334596;-0.013942450488927637;-38.586;-0.4844032853369187
75.24_17.72;0.0019843418125008645;0.03712992759724093;47.67;-0.730960691451394;0.0010655887631575139;0.026735633865615914;-4.237;0.07047654257037816;-0.0009187530493433506;-0.010394293731625016;-43.433;-0.6604841488810158
75.04_17.72;0.0017744686089553375;0.034804812358561046;67.507;-0.5024364474654277;0.0009303513436213912;0.024514732881276126;54.019;0.2122747280223135;-0.0008441172653339464;-0.01029007947728492;-13.488000000000007;-0.2901617194431142
74.84_17.72;0.0017744686089553375;0.034804812358561046;67.507;-0.5024364474654277;0.0007748420083888497;0.021952103060693333;45.813;0.34394394549696905;-0.0009996266005664878;-0.012852709297867713;-21.694000000000003;-0.15849250196845865
74.64_17.72;0.0019527131312688573;0.03651903837818269;55.642;-0.509387690575833;0.0009395846645531378;0.024281536791390192;8.994;0.27372971266455504;-0.0010131284667157195;-0.012237501586792498;-46.648;-0.23565797791127796
74.44_17.72;0.0021279461481682653;0.03727980491358172;91.357;-0.33498993814777567;0.0010065243524719442;0.024294947987394285;96.46;0.36854610526332776;-0.0011214217956963212;-0.012984856926187432;5.102999999999994;0.033556167115552094
74.24_17.72;0.0021279461481682653;0.03727980491358172;91.357;-0.33498993814777567;0.0009144428845600343;0.02339050740027306;82.674;0.42631440605331405;-0.001213503263608231;-0.013889297513308658;-8.682999999999993;0.09132446790553839
74.04_17.72;0.0014716529417384346;0.030646966267451465;-199.522;0.05390190351838575;0.0006914343141764963;0.019949250034513956;-700.616;0.5554898373581874;-0.0007802186275619382;-0.010697716232937509;501.094;0.5015879338398016
77.24_18.72;0.003420173184077016;0.05428465107732135;129.826;-5.218746465781714;0.00029834846818287906;0.013806162984046879;38.836;0.4575264519582035;-0.003121824715894137;-0.040478488093274465;-90.99;-4.76122001382351
77.04_18.72;0.003275826811129103;0.05300794448087456;128.638;-5.01557850772577;0.0003239674449809832;0.014473012888184606;41.455;0.4050810034860456;-0.00295185936614812;-0.03853493159268995;-87.183;-4.610497504239725
76.84_18.72;0.0023018181471606836;0.04291710346065154;116.709;-2.726950308385631;0.00031262661693407385;0.014330417354681085;45.84;0.4938158482114584;-0.0019891915302266095;-0.028586686105970458;-70.869;-2.2331344601741723
76.64_18.72;0.0018073586573354853;0.03671897840831001;66.417;-1.6994190380148217;0.0003337503183259891;0.014451656019817575;22.415;0.5015200997455098;-0.0014736083390094962;-0.022267322388492435;-44.002;-1.197898938269312
76.44_18.72;0.0009818908190761626;0.024479669954680167;44.608;-0.2265064680068276;0.0004269880062522589;0.015284077271111484;32.15;0.4666376940743012;-0.0005549028128239037;-0.009195592683568683;-12.457999999999998;0.2401312260674736
76.24_18.72;0.0009818908190761626;0.024479669954680167;44.608;-0.2265064680068276;0.00044612735724457045;0.016243501654120772;27.731;0.4427302113588506;-0.0005357634618315921;-0.008236168300559395;-16.876999999999995;0.216223743352023
76.04_18.72;0.0010482239754009436;0.025907916583009827;53.142;-0.18949731263361347;0.000494785409773604;0.017376010548632647;22.455;0.43853038180041093;-0.0005534385656273396;-0.00853190603437718;-30.687000000000005;0.24903306916679746
75.84_18.72;0.0020238903867216248;0.03685962800023143;71.084;-0.6364763353866663;0.0010834683535339042;0.02658185988221077;65.865;0.1239296691503754;-0.0009404220331877206;-0.010277768118020662;-5.219000000000008;-0.5125466662362909
75.64_18.72;0.0020238903867216248;0.03685962800023143;71.084;-0.6364763353866663;0.0011302354906418898;0.027379558555162515;61.026;0.08611471946084515;-0.000893654896079735;-0.009480069445068916;-10.058;-0.5503616159258211
75.44_18.72;0.0026278136195024083;0.04306454611104181;56.65;-0.9574739439325279;0.0017379810570199727;0.03490367795207437;-2.674;-0.294632392844173;-0.0008898325624824355;-0.008160868158967438;-53.976;-0.662841551088355
75.24_18.72;0.0027479970158481894;0.04395485575154887;254.661;-0.979782257016647;0.0016932219958669878;0.03424060830208546;544.512;-0.2198742739802768;-0.0010547750199812016;-0.009714247449463413;289.85099999999994;-0.7599079830363702
75.04_18.72;0.002829949750946123;0.04446187213844652;79.051;-0.9117684082711648;0.001968553583259351;0.036778914817395855;70.443;-0.3298534891674392;-0.000861396167686772;-0.007682957321050662;-8.608000000000004;-0.5819149191037256
74.84_18.72;0.002503449590101961;0.04175942326206176;69.09;-0.808952086422035;0.0014424906511118134;0.030801334149059258;43.479;-0.042320357993195445;-0.0010609589389901474;-0.0109580891130025;-25.611000000000004;-0.7666317284288395
74.04_18.72;0.0018295863819216252;0.03460897866411707;18.754;-0.23970243871435404;0.0008983365271808319;0.02303270396304708;-93.424;0.39129958850996327;-0.0009312498547407933;-0.011576274701069991;74.67;0.15159714979560923
77.24_19.72;0.0036381084088673776;0.055955949170487476;150.47;-4.862104768557152;0.00038402620582741776;0.015440786192650938;50.626;0.3812163906537728;-0.00325408220303996;-0.04051516297783654;-99.844;-4.480888377903379
77.04_19.72;0.003043164687227607;0.050264223029897595;176.091;-3.5963052390906896;0.0004426795240209754;0.016992956998358587;130.343;0.3313900414146066;-0.0026004851632066314;-0.03327126603153901;-45.74800000000002;-3.264915197676083
