POINT;MSE_ARIMA;MAE_ARIMA;MAPE_ARIMA;R^2_ARIMA;MSE_HYB;MAE_HYB;MAPE_HYB;R^2_HYB;MSE_DIF;MAE_DIF;MAPE_DIF;R^2_DIF;x;y
74.24_19.72;0.002667200570875729;0.04333370694809703;88.413;-0.8286650843550665;0.0014653786211235407;0.030286764898865115;57.265;-0.004681368574078304;-0.0012018219497521882;-0.013046942049231916;-31.147999999999996;-0.8239837157809882;74.24;19.72
74.04_19.72;0.0017918266747710514;0.03439262125899063;58.425;-0.2501118595775427;0.0009560239691107558;0.02416104671410562;22.398;0.3330064125881721;-0.0008358027056602956;-0.010231574544885012;-36.027;0.08289455301062942;74.04;19.72
73.84_19.72;0.0015201221068249639;0.03142432795406562;83.443;-0.06964894361609719;0.0009067409717316251;0.02360840734618192;77.425;0.3619627540500956;-0.0006133811350933387;-0.007815920607883699;-6.018000000000001;0.2923138104339984;73.84;19.72
76.84_20.72;0.0034059613281258215;0.0542747513485781;76.394;-5.126009780325825;0.00038623769723914337;0.01541851180779073;13.771;0.3053074645097351;-0.003019723630886678;-0.038856239540787374;-62.623000000000005;-4.82070231581609;76.84;20.72
76.64_20.72;0.002051488401441153;0.039520879980517176;41.253;-1.7988062958352384;0.0004841344685249839;0.015566136285487493;45.635;0.33950462620861177;-0.0015673539329161693;-0.023954743695029684;4.381999999999998;-1.4593016696266266;76.64;20.72
76.44_20.72;0.001566814413598704;0.03267228646080838;41.733;-0.8473612578751775;0.0005701555235392043;0.01869628445006229;-25.513;0.32775495552746803;-0.0009966588900594997;-0.01397600201074609;-16.219999999999995;-0.5196063023477094;76.44;20.72
76.24_20.72;0.0015165003948518654;0.03185250756960885;75.967;-0.5186740940602461;0.0006993364152491309;0.021131118002508754;45.342;0.2996611801241512;-0.0008171639796027345;-0.010721389567100094;-30.625;-0.2190129139360949;76.24;20.72
76.04_20.72;0.002323370929025947;0.04015557797905663;76.321;-0.7853118016272393;0.0013305211503551293;0.03057922726181763;39.604;-0.022391682002979696;-0.0009928497786708176;-0.009576350717239002;-36.717;-0.7629201196242597;76.04;20.72
75.84_20.72;0.002323370929025947;0.04015557797905663;76.321;-0.7853118016272393;0.0015400667811086373;0.03329318597106124;40.808;-0.18340957324452223;-0.0007833041479173096;-0.006862392007995391;-35.513;-0.6019022283827171;75.84;20.72
75.64_20.72;0.0030188606077728546;0.04624290908751069;74.164;-0.9589587837286098;0.002181024934805842;0.03944773603074127;43.599;-0.41528162730277907;-0.0008378356729670127;-0.006795173056769424;-30.565000000000005;-0.5436771564258307;75.64;20.72
75.44_20.72;0.0031265104151535356;0.04719009792885159;69.809;-1.0041376783294038;0.002235343033604173;0.039425606218418896;27.59;-0.43288670203175195;-0.0008911673815493624;-0.007764491710432697;-42.218999999999994;-0.5712509762976519;75.44;20.72
75.24_20.72;0.003263032591825625;0.04844687759001496;62.381;-1.1201191938267492;0.0023097685969990186;0.03980057937111738;4.005;-0.5007464982309906;-0.0009532639948266063;-0.008646298218897577;-58.376;-0.6193726955957586;75.24;20.72
75.04_20.72;0.0030856858143087492;0.04721903011257848;102.629;-1.2333447704698557;0.0019633629907551305;0.0361149799954922;80.117;-0.42103465220075154;-0.0011223228235536188;-0.011104050117086282;-22.512;-0.8123101182691042;75.04;20.72
74.84_20.72;0.0030856858143087492;0.04721903011257848;102.629;-1.2333447704698557;0.0017456870211998952;0.0336900425425886;77.541;-0.26348604955014565;-0.001339998793108854;-0.013528987569989881;-25.088000000000008;-0.96985872091971;74.84;20.72
74.64_20.72;0.0028227274619082752;0.04528949717233142;77.616;-1.1971349746428999;0.0014440035625683132;0.02989171830237457;25.311;-0.1239734525000642;-0.001378723899339962;-0.015397778869956847;-52.305;-1.0731615221428357;74.64;20.72
74.44_20.72;0.002660092432913259;0.04372870730651502;52.048;-1.0158775287246788;0.0011055143275392107;0.025151558860062873;10.914;0.1622165218789824;-0.001554578105374048;-0.018577148446452148;-41.134;-0.8536610068456965;74.44;20.72
74.24_20.72;0.002028693225597015;0.03725175664608894;86.051;-0.45067180508097104;0.0009756742769756052;0.024278077487420675;74.075;0.30231779418756344;-0.0010530189486214097;-0.012973679158668268;-11.975999999999999;-0.1483540108934076;74.24;20.72
74.04_20.72;0.0016227298064465823;0.03254277321495033;251.534;-0.09891784987829455;0.0008876970793915958;0.023183658333247488;152.972;0.3988486795812324;-0.0007350327270549865;-0.009359114881702844;-98.56199999999998;0.29993082970293783;74.04;20.72
73.84_20.72;0.0014899956224615934;0.030991201169002048;23.223;-0.0049938251874788175;0.001271328449663572;0.028590252701951167;34.119;0.14249597620546417;-0.00021866717279802141;-0.0024009484670508806;10.896;0.13750215101798535;73.84;20.72
73.64_20.72;0.0014286149571917147;0.030552038795363678;-143.769;-0.05917518697752722;0.001679346877715058;0.03375367711376241;-300.433;-0.24506784298302375;0.00025073192052334323;0.003201638318398734;156.664;0.18589265600549654;73.64;20.72
76.64_21.72;0.003041744518545348;0.0513851119013534;163.248;-5.201183621550813;0.00042274043579312046;0.01570591677776211;79.807;0.13816198217027575;-0.0026190040827522277;-0.03567919512359129;-83.44099999999999;-5.063021639380537;76.64;21.72
76.44_21.72;0.0018604337501052343;0.03648366238892192;66.571;-0.9566321930518649;0.0006557334804401839;0.020360219977254748;32.98;0.31036015777576864;-0.0012047002696650504;-0.016123442411667174;-33.591;-0.6462720352760962;76.44;21.72
76.24_21.72;0.002018184216728474;0.0376561473475456;78.711;-0.7867716704264875;0.0010139482864865595;0.02683540161449075;37.272;0.10231481420042765;-0.0010042359302419143;-0.010820745733054846;-41.439;-0.6844568562260599;76.24;21.72
76.04_21.72;0.0021232752819647788;0.038598543107745784;78.923;-0.8068139234428084;0.0011758144611102512;0.029177317847797552;37.364;-0.0005664163120255861;-0.0009474608208545276;-0.009421225259948231;-41.559000000000005;-0.8062475071307829;76.04;21.72
75.84_21.72;0.0027140454872210977;0.04408686791792217;86.695;-1.0340520543256617;0.0015892842549356297;0.033868533591235164;62.4;-0.19109532941880936;-0.001124761232285468;-0.010218334326687006;-24.294999999999995;-0.8429567249068524;75.84;21.72
75.64_21.72;0.0031311111464689735;0.04780810361215378;62.301;-1.265371146884534;0.0018255485679124768;0.035751172827842854;-42.4;-0.320791520814921;-0.0013055625785564967;-0.012056930784310922;-19.901000000000003;-0.9445796260696129;75.64;21.72
75.44_21.72;0.0031311111464689735;0.04780810361215378;62.301;-1.265371146884534;0.001931996385512331;0.03669139996028218;-45.127;-0.39780693271158296;-0.0011991147609566424;-0.011116703651871597;-17.174;-0.8675642141729509;75.44;21.72
75.24_21.72;0.003172312222014209;0.04820421335225163;64.83;-1.373799849203451;0.0018915993616060625;0.0357901354963765;-165.814;-0.41545912415984865;-0.0012807128604081467;-0.01241407785587513;100.984;-0.9583407250436025;75.24;21.72
75.04_21.72;0.002747211902461446;0.04456949355924812;78.044;-1.2675760475264806;0.0014716577035761534;0.03060721024992381;27.599;-0.2147209160666277;-0.0012755541988852927;-0.013962283309324312;-50.44499999999999;-1.0528551314598529;75.04;21.72
74.84_21.72;0.0026771285871258774;0.04392496772615913;55.583;-1.1936060777568067;0.0011460266043379658;0.02602891553111202;-13.531;0.060959964106291675;-0.0015311019827879116;-0.01789605219504711;-42.052;-1.132646113650515;74.84;21.72
74.64_21.72;0.002288209180216839;0.04031727677907996;50.952;-0.7888585150289353;0.000922027209457607;0.023436778931241284;4.365;0.2791846833818282;-0.001366181970759232;-0.016880497847838676;-46.586999999999996;-0.5096738316471071;74.64;21.72
74.44_21.72;0.002288209180216839;0.04031727677907996;50.952;-0.7888585150289353;0.0009417861704102597;0.023312439889097644;20.278;0.2637376753661854;-0.0013464230098065794;-0.017004836889982316;-30.674;-0.5251208396627499;74.44;21.72
74.24_21.72;0.0017950548118475136;0.034669517422188045;-45.347;-0.21506150603099305;0.000992854291837126;0.024713438672579437;-33.073;0.3279430671716821;-0.0008022005200103877;-0.009956078749608608;-12.274000000000001;0.11288156114068904;74.24;21.72
74.04_21.72;0.0015329319097583853;0.03141880940184081;252.365;0.00914961871455211;0.0011172349185537649;0.026173486714629955;331.903;0.27784617308351467;-0.00041569699120462046;-0.005245322687210854;79.53800000000001;0.26869655436896256;74.04;21.72
73.84_21.72;0.0014908714245808878;0.030964411697506612;17.715;0.006396499221658081;0.0010896169100915378;0.02580813164682739;14.58;0.27381586465205443;-0.00040125451448934997;-0.005156280050679224;-3.135;0.26741936543039635;73.84;21.72
73.64_21.72;0.00144605844107498;0.030581952711930278;-122.338;-0.11913245667646954;0.001562804353176788;0.033142070146317024;-488.448;-0.20948436480564947;0.00011674591210180806;0.002560117434386746;366.11;0.09035190812917993;73.64;21.72
76.64_22.72;0.0022993072915507;0.04169976353335647;68.707;-1.4514257034376126;0.0006020477944861103;0.018559630730464606;0.537;0.35812170755748984;-0.0016972594970645896;-0.023140132802891865;-68.16999999999999;-1.0933039958801227;76.64;22.72
76.44_22.72;0.0023425633269721054;0.04123700179718913;92.219;-0.956322256697151;0.0008747182983719758;0.024569889007412683;67.657;0.26950496674204427;-0.0014678450286001296;-0.016667112789776447;-24.561999999999998;-0.6868172899551067;76.44;22.72
76.24_22.72;0.0024442959092663696;0.042172369083884206;45.41;-1.0712546080446437;0.0009932849538264368;0.026636945100457887;-80.646;0.1583072941721243;-0.0014510109554399329;-0.01553542398342632;35.236000000000004;-0.9129473138725194;76.24;22.72
76.04_22.72;0.0030190436674589114;0.047879680324666676;43.265;-1.631196886729327;0.001018835447552171;0.025363772662826217;-89.251;0.11205104895183271;-0.0020002082199067402;-0.02251590766184046;45.986000000000004;-1.5191458377774942;76.04;22.72
75.84_22.72;0.003125108315840796;0.04895085664766057;99.848;-1.8164998825169336;0.0011575221338615445;0.028085602125211294;105.264;-0.04321534633101476;-0.0019675861819792514;-0.020865254522449278;5.415999999999997;-1.7732845361859189;75.84;22.72
75.64_22.72;0.0030946334743761077;0.04843517163225362;6.76;-1.6717345784733069;0.0012009691362202992;0.02825716953957379;-183.101;-0.03685001648406061;-0.0018936643381558085;-0.020178002092679826;176.341;-1.6348845619892463;75.64;22.72
75.44_22.72;0.0031320957111075527;0.04856080911410903;217.478;-1.6466917253814861;0.0014274167132629638;0.030739251152271118;364.025;-0.2061994115525907;-0.001704678997844589;-0.017821557961837913;146.54699999999997;-1.4404923138288954;75.44;22.72
75.24_22.72;0.0028054527987021647;0.0453657997929094;85.293;-1.4306839074907134;0.0012788154135289498;0.028582774623354894;28.301;-0.10798372646079835;-0.001526637385173215;-0.01678302516955451;-56.992000000000004;-1.322700181029915;75.24;22.72
75.04_22.72;0.0028054527987021647;0.0453657997929094;85.293;-1.4306839074907134;0.0012748717882265564;0.02823991700664506;31.916;-0.10456691382929173;-0.0015305810104756083;-0.017125882786264344;-53.37700000000001;-1.3261169936614217;75.04;22.72
74.84_22.72;0.0023166658086216122;0.040343176612458335;79.528;-1.0100124167094027;0.0008876978151237863;0.02211959259157134;32.066;0.22980534177856016;-0.0014289679934978258;-0.018223584020886995;-47.462;-0.7802070749308425;74.84;22.72
74.64_22.72;0.002183366984979965;0.039007202133007325;56.797;-0.724605219790613;0.0008465604313595773;0.02173343631626065;35.991;0.3313160138288356;-0.0013368065536203879;-0.017273765816746674;-20.805999999999997;-0.3932892059617774;74.64;22.72
74.44_22.72;0.002183366984979965;0.039007202133007325;56.797;-0.724605219790613;0.0008250226316187974;0.021346254193247767;44.915;0.3483283631550276;-0.0013583443533611676;-0.017660947939759558;-11.881999999999998;-0.3762768566355854;74.44;22.72
