75.295924_18.454331;77.325956_29.460769;dates
-0.9161126017570496;-0.8469526171684265;2002-10-21
-0.8691514730453491;-0.8387458324432373;2002-10-22
-0.8476589322090149;-0.8410965800285339;2002-10-23
-0.8433889150619507;-0.8492217063903809;2002-10-24
-0.8371086120605469;-0.8662697672843933;2002-10-25
-0.8653460741043091;-0.8794842958450317;2002-10-26
-0.866046130657196;-0.8805173635482788;2002-10-27
-0.89850252866745;-0.8833960890769958;2002-10-28
-0.8910853862762451;-0.887610673904419;2002-10-29
-0.8812394738197327;-0.885401725769043;2002-10-30
-0.8738318681716919;-0.8611409664154053;2002-10-31
-0.8625163435935974;-0.8443596363067627;2002-11-01
-0.8591246604919434;-0.837871253490448;2002-11-02
-0.8428570032119751;-0.8116961121559143;2002-11-03
-0.8270010948181152;-0.7915007472038269;2002-11-04
-0.8326583504676819;-0.7907926440238953;2002-11-05
-0.8153504133224487;-0.7998911738395691;2002-11-06
-0.8038540482521057;-0.8088743686676025;2002-11-07
-0.7953241467475891;-0.818534791469574;2002-11-08
-0.7949020862579346;-0.8304306864738464;2002-11-09
-0.7962906360626221;-0.8405961394309998;2002-11-10
-0.7949262261390686;-0.8381465673446655;2002-11-11
-0.7957585453987122;-0.829296350479126;2002-11-12
-0.8029093146324158;-0.8262856602668762;2002-11-13
-0.8173708915710449;-0.8306637406349182;2002-11-14
-0.8377838730812073;-0.8357817530632019;2002-11-15
-0.8566176891326904;-0.8374094367027283;2002-11-16
-0.8629045486450195;-0.8368561267852783;2002-11-17
-0.8615173101425171;-0.8329803347587585;2002-11-18
-0.8652880191802979;-0.8375220894813538;2002-11-19
-0.8478617668151855;-0.8336454629898071;2002-11-20
-0.8262889385223389;-0.8291304111480713;2002-11-21
-0.8144701719284058;-0.8385854363441467;2002-11-22
-0.8125772476196289;-0.8305178284645081;2002-11-23
-0.8061133027076721;-0.8318372368812561;2002-11-24
-0.8053050637245178;-0.8313302397727966;2002-11-25
-0.8050260543823242;-0.8234637379646301;2002-11-26
-0.7887407541275024;-0.8138691782951355;2002-11-27
-0.7863684296607971;-0.8032578825950623;2002-11-28
-0.8054457902908325;-0.8150365948677063;2002-11-29
-0.8262413144111633;-0.8389391899108887;2002-11-30
-0.8443875312805176;-0.8444810509681702;2002-12-01
-0.8611149191856384;-0.8409696817398071;2002-12-02
-0.8673585057258606;-0.831290602684021;2002-12-03
-0.8646203875541687;-0.8348785042762756;2002-12-04
-0.8487482070922852;-0.8265219330787659;2002-12-05
-0.8308296799659729;-0.8156951069831848;2002-12-06
-0.8131423592567444;-0.8069320321083069;2002-12-07
-0.8113040924072266;-0.8233559727668762;2002-12-08
-0.8015894293785095;-0.8532488346099854;2002-12-09
-0.8048962354660034;-0.8407835960388184;2002-12-10
-0.8092633485794067;-0.8234684467315674;2002-12-11
-0.8108067512512207;-0.8193325996398926;2002-12-12
-0.829538881778717;-0.8148110508918762;2002-12-13
-0.857423722743988;-0.8111820220947266;2002-12-14
-0.8780684471130371;-0.8215355277061462;2002-12-15
-0.8969749212265015;-0.8167513608932495;2002-12-16
-0.8787202835083008;-0.8276744484901428;2002-12-17
-0.8631384372711182;-0.8459625840187073;2002-12-18
-0.8720985651016235;-0.860108494758606;2002-12-19
-0.8530071377754211;-0.8587599396705627;2002-12-20
-0.8358614444732666;-0.8376519083976746;2002-12-21
-0.8207327723503113;-0.8242583274841309;2002-12-22
-0.82040935754776;-0.8148504495620728;2002-12-23
-0.8094239234924316;-0.8141332864761353;2002-12-24
-0.8063299655914307;-0.8036981821060181;2002-12-25
-0.8031712174415588;-0.7995400428771973;2002-12-26
-0.8018690347671509;-0.801193356513977;2002-12-27
-0.8086378574371338;-0.8026125431060791;2002-12-28
-0.8313503861427307;-0.8005129098892212;2002-12-29
-0.8388420343399048;-0.7996771931648254;2002-12-30
-0.8433641195297241;-0.8027079105377197;2002-12-31
