POINT;MSE_ARIMA;MAE_ARIMA;MAPE_ARIMA;R^2_ARIMA;MSE_HYB;MAE_HYB;MAPE_HYB;R^2_HYB;MSE_DIF;MAE_DIF;MAPE_DIF;R^2_DIF
75.64_12.72;8.82505584624675e-05;0.008410549271683682;18.86146666666667;-7.420438805447243e+29;0.0003990131009831462;0.01690651121195458;37.68736666666667;-2.8710740897212254e+30;0.0003107625425206787;0.008495961940270899;18.8259;2.129030209176501e+30
75.44_12.72;8.82505584624675e-05;0.008410549271683682;18.86146666666667;-7.420438805447243e+29;0.00014753323343897503;0.009409327989346255;21.7432;-9.044356304278789e+29;5.928267497650753e-05;0.0009987787176625722;2.881733333333333;1.623917498831546e+29
75.24_12.72;0.00012836150747327216;0.010340756531102797;24.772666666666666;-1.6410610651097685e+30;0.00010635302231238678;0.008666400803819979;20.861966666666664;-1.1603459722531897e+30;-2.200848516088538e-05;-0.001674355727282818;-3.910700000000002;-4.807150928565788e+29
75.04_12.72;0.0001407724472848746;0.010855392494436539;24.17526666666667;-1.2479151396235352e+30;0.0001090761136619682;0.008635376523622403;18.354833333333335;-9.731556763633033e+29;-3.169633362290642e-05;-0.002220015970814136;-5.820433333333334;-2.747594632602319e+29
74.84_12.72;0.00010914697127686375;0.009473465353033091;16.8204;-6.30337257293642e+29;0.00012131557086667794;0.008202362467417063;12.857900000000003;-3.185462267904906e+29;1.2168599589814196e-05;-0.001271102885616028;-3.962499999999997;-3.117910305031514e+29
76.84_13.72;8.499679054105212e-05;0.007712006750254101;17.52456666666666;-4.174475126307979e+29;0.00017078965280223728;0.01088510897454312;20.409000000000002;-7.100210141910735e+29;8.579286226118516e-05;0.00317310222428902;2.884433333333341;2.9257350156027565e+29
76.64_13.72;6.955939381850289e-05;0.006786597165980221;13.958;-4.8011753698763794e+29;0.00015560685462249202;0.010009631937066088;17.7885;-1.0117894209649982e+30;8.604746080398913e-05;0.0032230347710858667;3.830499999999999;5.316718839773603e+29
76.44_13.72;6.955939381850289e-05;0.006786597165980221;13.958;-4.8011753698763794e+29;0.0002388091696088001;0.01283854627617405;24.46563333333334;-1.9829126581219027e+30;0.00016924977579029722;0.006051949110193829;10.50763333333334;1.5027951211342647e+30
76.24_13.72;7.339000391336383e-05;0.007320388991224587;15.430266666666666;-4.9928226784529984e+29;0.0003430848874554731;0.016484543272767917;34.29280000000001;-2.77839295948262e+30;0.0002696948835421093;0.00916415428154333;18.86253333333334;2.2791106916373202e+30
76.04_13.72;7.339000391336383e-05;0.007320388991224587;15.430266666666666;-4.9928226784529984e+29;0.0001726685288203381;0.010999187785894062;22.068533333333335;-1.5641378139205346e+30;9.927852490697428e-05;0.003678798794669475;6.638266666666668;1.0648555460752349e+30
75.84_13.72;6.757166487210656e-05;0.007051643411730636;14.872533333333333;-5.8609749145758824e+29;0.00012022602320820696;0.00757414358512273;16.1371;-1.023390029171507e+30;5.2654358336100404e-05;0.0005225001733920936;1.264566666666667;4.372925377139187e+29
75.64_13.72;5.578807527837853e-05;0.006353263971466183;15.171166666666666;-1.0582372778604466e+30;0.00017763418030252866;0.00988762387040768;24.40146666666666;-3.292325939070633e+30;0.00012184610502415013;0.0035343598989414967;9.230299999999994;2.2340886612101863e+30
75.44_13.72;5.578807527837853e-05;0.006353263971466183;15.171166666666666;-1.0582372778604466e+30;0.00014309961357862258;0.010388497581352124;24.11986666666667;-2.4374511116146723e+30;8.731153830024405e-05;0.004035233609885941;8.948700000000004;1.3792138337542258e+30
